1,Griffith,2603,1
2,Narrabundah,2604,1
3,Ormond,3204,3
4,Keysborough,3175,3
5,Malvern East,3145,3
6,Prahran,3181,3
7,Brunswick East,3057,3
8,Bell Park,3215,3
9,Carnegie,3163,3
10,Balaclava,3183,3
11,St. Kilda East,3183,3
12,Carrum,3199,3
13,Beckenham,6107,13
14,Aubin Grove,6164,13
15,Bayswater,6053,13
16,Athelstone,5976,16
17,Holden Hill,5088,16
18,St Agnes,5097,16
19,Queenstown,5014,16
21,Wayville,5034,16
22,Woolloongabba,4102,22
23,Rochedale South,4123,22
24,Southport,4215,22
25,Blacktown,2148,25
26,Homebush South,2140,25
27,Lindfield,2070,25
28,Strathfield,2135,25
29,Sydney,2000,25
30,Berala,2141,25
31,Burwood,2134,25
32,Lidcombe,2141,25
33,Kings Langley,2147,25
34,Engadine,2233,25
35,Mt Colah,2079,25
36,Quakers Hill,2763,25
37,Bellevue Hill,2023,25
38,Lakemba,2195,25
40,Balgowlah North,2093,25
41,Penrith,2750,25
42,Kingston,7050,42
